,1960s,1970s,1980s,1990s,2000s,2010s,2020s
사랑,21.438054366342456,35.950334164119226,84.79206331262426,103.57524807319659,138.97627385942369,89.25664602240431,80.76936650932511
마음,13.84396506245733,24.441702951683357,41.45967494110167,43.79677171980667,35.38691944134661,30.42069122075571,24.204593761946626
사람,11.372443389237473,19.732517599483284,29.645462524700733,37.217651827290254,47.196328707768124,32.81731492023214,34.706359911032074
가슴,9.99243719582284,11.824177544404737,29.936010530559887,24.44671369729039,37.82256718715703,23.061633768435986,12.853820771321866
그대,7.883091723460632,18.172586832072955,73.63890166924016,93.6674393889921,101.92970240859921,54.143391980954746,53.69322208052543
눈물,7.1049482459195,11.05743573485263,28.181595603006222,35.74203846272791,43.724026849885725,28.10323273318653,19.05511066368051
다시,6.575749902883502,10.782588809477346,22.055061752327223,40.888350467484365,47.2092589246522,33.9797098633067,33.69736406168167
아가씨,6.446871767756158,,,,,2.267931478482706,
변하다,5.9586248435301155,2.722912470982205,9.170223347394884,13.662307180295132,15.644172774926478,11.534091063514076,13.382195216465677
좋다,5.920853603147707,9.49190146723246,10.111622119420229,20.445984770399853,28.95048548023242,34.43727342723409,28.23453600886394
그립다,5.394042592439797,13.898700318556557,15.106324845861776,12.526865203035257,17.59236996288881,19.839790608616216,11.884611407959097
소리,5.092233922259178,6.8716306653498656,11.936689493424653,9.190629432758701,10.208342696146607,13.582125913053126,6.744271277098244
하늘,4.946408642011365,10.679631033565407,16.311618084523204,21.01482568637104,19.287415135514795,15.687626216115694,14.410107692183358
거리,4.669785810194723,4.863265318969916,12.092417579403229,12.519433702372835,9.361537970852075,12.009339667645634,7.658008115154099
낙엽,4.437725950623662,4.2066382027326235,7.101977678386352,2.415517809901176,,0.9028568935343666,
이름,4.277560323779673,2.5802648165228543,7.629232480500175,9.321863705191229,13.23802925933709,9.195480067870417,15.100961157614005
생각,4.123483815660982,11.393227548873389,21.1079007585807,30.978455900350074,27.308427796060418,26.977087940299654,20.204881974677566
얼굴,4.118818743141517,7.066111530156922,11.286052158045104,12.286734746402097,12.639490840001796,11.249247983004238,8.427224652497209
홀로,4.1086833742392495,4.046893139840621,13.370222702439836,9.21466192594028,6.741302819249386,6.393722964675703,4.872487782604334
그리움,3.9222408131285693,4.161324603588882,9.105446531249216,12.65317305492069,7.38569587087354,4.515876407769348,5.482800826691807
외롭다,3.6254109804701726,7.241007749395469,11.782603387751054,11.372251615126615,5.271458435418027,7.019929545470565,3.102754768494501
서울,3.4906844015219485,1.945895407484769,,,,1.5924809794026518,
미련,3.4333717662030727,2.2004300990194388,7.125992513261845,5.0042754251118255,9.57032500300484,4.129687384644404,8.606891580462825
추억,3.3829761454279925,4.684487230869669,17.65735597344158,19.19360208371633,23.564239003270988,15.305433137035257,11.76220222711798
세월,3.3420088834665087,8.055906785227455,16.004336944790882,12.980877034284692,6.205028462518121,2.337069794159602,2.436556897472549
여자,3.3357974711859235,,4.5376086252882075,12.406584126929346,18.378105144912624,14.846504635305095,5.361037074780142
바람,3.270571816509726,10.665858621008585,26.64465201454284,12.413896725463967,13.036389046668834,17.337764574978074,15.7906050830532
사나이,3.2224853412728085,3.513903905301371,,,,,
가을,3.215133907601977,4.870810833107706,5.778804054229923,3.0443541434327894,1.8997993667752997,4.495770212993444,5.697662458264261
노래,3.2006405803131743,9.977701354633757,15.496666781999686,15.949400590556484,12.23709558803091,19.071146693689887,13.848447630723689
여인,3.1952396141835564,3.611583120499118,8.542297768904204,3.7119436594823547,,,
멀다,3.192169075069066,7.057168651225024,9.8128554542572,14.611311292967136,12.047596513948273,6.371509140914491,9.252541673226686
누가,3.184530060141018,3.49246484210693,7.500656183432612,5.588384719709921,9.177698792910773,9.536039669677526,12.505820109644889
세상,3.105814732045359,5.589797234350545,16.018732751280183,41.1529757671863,34.53718596630494,22.804180652465018,20.934233737747736
꽃잎,3.024858298566968,3.308688441328491,6.862058399418605,,2.8232890586005386,3.3833974601086925,2.210973817084591
가지,3.0112736620264107,1.9950960952686279,5.672445463004508,4.391181744267372,7.482379766202657,7.620704562683176,2.870725492385388
순정,2.9982228354383764,,,1.2001623230182321,,,
뜨겁다,2.971100024156041,3.0934003802013383,5.60959688491698,3.4337576334464264,7.843143552553687,10.84732949976086,5.732269562083706
파도,2.923282353457178,5.851668231418858,3.4056325279455173,2.661307841158758,4.509862176566973,3.921707049727125,6.059518481016918
사연,2.824314093014615,2.1311655120388924,4.018704127824115,1.0961207229989198,,0.7629896696887996,0.5358444368205997
고향,2.7775594279572853,7.8410461780355725,3.680905243343738,,,,
슬프다,2.77615690422218,5.947134400468606,19.549373055892406,28.639144803060645,20.787309418159435,15.109384107973623,9.344129774220633
아아,2.7451470871819676,3.561554854565372,6.432225020720722,2.0600065864116437,1.274625289550244,1.0049295751949325,
모습,2.7431679345566065,6.263597199297186,22.002643203341457,42.142381944353716,26.97483932936228,17.96257509013753,10.357527815943243
지금,2.7388000080977672,7.028478136710529,15.452366162188522,28.70250764099754,23.107450987619433,28.581746684448415,30.393993394637192
푸른,2.7259498481039146,3.6001131737756813,3.8162739061816158,3.8312411474623307,2.2682136204123187,1.9041376417192957,2.9762009814740753
한번,2.7194650944580494,4.113573997638904,9.883648732916292,20.852572343561487,24.198446985263335,13.165615482554681,11.288757190739743
서로,2.7023092949319767,3.608923051600314,8.98446923553676,16.679005058383517,13.92436310585726,11.695468958605547,12.922874401038085
빨갛다,2.7009746058870214,,3.0895304340473673,2.4426841793127636,1.8431413861704982,5.600175495454964,
인생,2.7007327608946894,2.220426799777324,9.448459534523018,6.904495394177445,8.871333398425778,4.457059993501187,8.143533756122597
고프다,2.698843389183663,,3.9159463815047344,3.844911221044468,3.860092920369909,4.196687018926214,6.5553576387476005
즐겁다,2.6739602776252838,2.9012081827349654,2.5920276727276743,2.981895615659261,3.1742536302794857,1.9022187706439437,2.0439869151701853
아련하다,2.654231404385718,,,1.68275259218372,2.08454745687567,1.2722422417124502,
총각,2.6531191893702513,,,,,,
마르다,2.6437877353339827,2.1199394429144034,3.5550770672570757,4.294018533192963,5.036231553480789,4.551187327766278,5.51818230471187
가면,2.632786029824282,5.352553584029484,4.612335937487446,4.831632769474672,2.6638830843867525,4.16141706444218,2.031169485514134
길이,2.619790527636265,,3.279406518069275,4.961469706418486,4.759685090405927,1.310388567126381,3.1078715544552273
건너,2.61516318424687,4.040187000896766,,1.7425669839599869,,2.1440029204440836,
천리,2.6110643273231053,,,,,,
계시다,2.600964076321083,,,,,,0.8847699322286924
쓸쓸하다,2.596971177521,4.081364368508773,10.532159318117792,3.6917200626227875,2.403368145491256,3.057146512881839,1.469549325239707
처녀,2.4721497608480774,2.432541261262765,,,,,
오늘,2.4153508376834916,5.875181214353106,13.379710002258383,18.59592812965787,24.428654476674968,31.04524257744965,15.833514016934648
멀리,2.385548244488367,9.289240258870597,15.052011655347336,16.057436200856046,13.031277246276256,10.625348375574386,10.019020291155254
다정하다,2.3516079526155123,3.5207210113305396,4.56620505556715,1.2488545094361863,1.8520024216710977,,2.8262513485092375
맹세,2.32367325691099,2.2938504659824606,,2.84547343333561,1.3855799625453948,,
예쁘다,2.2590748725552317,3.5457897105391236,3.0115051978465264,7.631624995637745,8.818299592644063,16.135491668121805,14.361537473936108
구름,2.2102988118527347,5.546036506793791,10.554780779633226,5.557851182640705,3.9101521045576204,3.748475250690612,3.6562454593109557
가슴속,2.209944051586914,1.6927830920933236,3.550540260857625,5.934890562205725,6.192925899598736,2.2813988303536807,1.8076918422284063
상처,2.1712762471661637,1.8055470288990507,5.775550044435891,8.047100664251067,13.04260595636977,11.483615465348901,7.320472427554072
괴롭다,2.1658298150401936,1.7616946921450256,3.5028639914460906,2.738700991315934,2.1177066300123077,1.5657174073651363,2.2074949100967203
순간,2.161260375871831,2.642501330372355,9.715333351441275,15.648162595503974,17.424482348219776,20.219896715130997,25.612608974707246
깊다,2.155176268739314,3.3355095315235594,9.317638811469553,10.951343818543537,10.609482884602954,8.213154660792053,7.4470085125512355
길다,2.145576316381342,1.5734174678382167,3.0653689359990746,4.953534528358737,2.9363448514104227,5.357766257629843,5.404424233438126
지고,2.120306366237361,1.83568029879548,2.49834489797419,1.7700079281763985,2.7365307872015565,2.2256251122262656,
외로움,2.096739103146907,1.3554394367573466,8.493753832233073,10.361425864814759,3.975165624307119,2.229637241229949,2.174458241935342
이슬,2.074002436652847,3.421297880381346,6.138117450967015,1.1846020626704803,,,0.8713310139165255
아프다,2.073477284176446,3.1939677611190076,13.615874513926245,19.372379675268554,42.491917818632714,31.720410673456357,21.13630482440528
그림자,2.069714371923184,4.512812134641758,5.015872121846327,2.5323827470029134,2.835268683603599,2.988945589784577,3.2165699489201
해도,2.0337122078664107,3.712265152105206,7.042573734851284,11.335629993347766,16.212120844764772,14.7545740002301,16.346910742986356
마을,2.026988138802947,1.729752622827448,,,,,
아름답다,1.9558672231180283,6.91077027792662,18.16130745459207,18.808115877599924,13.591159849332278,16.312267534794607,18.009040989662445
슬픔,1.8216943133741026,5.634586674699051,17.147418685082812,18.368086499233947,12.550292730056766,5.083002172101721,2.59314266949971
